                                     | Core 0    
  Instructions                       |     192619
  Cycles                             |     348726
  IPC                                |       0.55
  Time (ns)                          |     131100
  Idle time (ns)                     |        -38
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |      18303
  num incorrect                      |       1496
  misprediction rate                 |      7.56%
  mpki                               |       7.77
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      19521
    num misses                       |         40
    miss rate                        |      0.20%
    mpki                             |       0.21
  D-TLB                              |           
    num accesses                     |      63048
    num misses                       |         78
    miss rate                        |      0.12%
    mpki                             |       0.40
  L2 TLB                             |           
    num accesses                     |        118
    num misses                       |        110
    miss rate                        |     93.22%
    mpki                             |       0.57
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      19521
    num cache misses                 |        689
    miss rate                        |      3.53%
    mpki                             |       3.58
  Cache L1-D                         |           
    num cache accesses               |      63048
    num cache misses                 |       1679
    miss rate                        |      2.66%
    mpki                             |       8.72
  Cache L2                           |           
    num cache accesses               |       2406
    num cache misses                 |       2192
    miss rate                        |     91.11%
    mpki                             |      11.38
  Cache L3                           |           
    num cache accesses               |       2230
    num cache misses                 |       2192
    miss rate                        |     98.30%
    mpki                             |      11.38
DRAM summary                         |           
  num dram accesses                  |       2192
  average dram access latency (ns)   |      72.76
  average dram queueing delay        |      19.33
  average dram bandwidth utilization |     14.00%
Coherency Traffic                    |           
  num loads from dram                |       1060
  num loads from dram cache          |          0
  num loads from remote cache        |          0
