                                     | Core 0    
  Instructions                       |     132619
  Cycles                             |     280896
  IPC                                |       0.47
  Time (ns)                          |     105600
  Idle time (ns)                     |        -32
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |      18301
  num incorrect                      |       1498
  misprediction rate                 |      7.57%
  mpki                               |      11.30
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      19521
    num misses                       |         40
    miss rate                        |      0.20%
    mpki                             |       0.30
  D-TLB                              |           
    num accesses                     |      58047
    num misses                       |         83
    miss rate                        |      0.14%
    mpki                             |       0.63
  L2 TLB                             |           
    num accesses                     |        123
    num misses                       |        109
    miss rate                        |     88.62%
    mpki                             |       0.82
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      19521
    num cache misses                 |        687
    miss rate                        |      3.52%
    mpki                             |       5.18
  Cache L1-D                         |           
    num cache accesses               |      58047
    num cache misses                 |       1679
    miss rate                        |      2.89%
    mpki                             |      12.66
  Cache L2                           |           
    num cache accesses               |       2402
    num cache misses                 |       2191
    miss rate                        |     91.22%
    mpki                             |      16.52
  Cache L3                           |           
    num cache accesses               |       2227
    num cache misses                 |       2191
    miss rate                        |     98.38%
    mpki                             |      16.52
DRAM summary                         |           
  num dram accesses                  |       2191
  average dram access latency (ns)   |      72.15
  average dram queueing delay        |      18.72
  average dram bandwidth utilization |     17.00%
Coherency Traffic                    |           
  num loads from dram                |       1058
  num loads from dram cache          |          0
  num loads from remote cache        |          0
