                                     | Core 0    
  Instructions                       |     117622
  Cycles                             |     266532
  IPC                                |       0.44
  Time (ns)                          |     100200
  Idle time (ns)                     |         33
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |      18302
  num incorrect                      |       1497
  misprediction rate                 |      7.56%
  mpki                               |      12.73
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |       9521
    num misses                       |         40
    miss rate                        |      0.42%
    mpki                             |       0.34
  D-TLB                              |           
    num accesses                     |      58048
    num misses                       |         74
    miss rate                        |      0.13%
    mpki                             |       0.63
  L2 TLB                             |           
    num accesses                     |        114
    num misses                       |        110
    miss rate                        |     96.49%
    mpki                             |       0.94
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |       9521
    num cache misses                 |        688
    miss rate                        |      7.23%
    mpki                             |       5.85
  Cache L1-D                         |           
    num cache accesses               |      58048
    num cache misses                 |       1680
    miss rate                        |      2.89%
    mpki                             |      14.28
  Cache L2                           |           
    num cache accesses               |       2404
    num cache misses                 |       2191
    miss rate                        |     91.14%
    mpki                             |      18.63
  Cache L3                           |           
    num cache accesses               |       2227
    num cache misses                 |       2191
    miss rate                        |     98.38%
    mpki                             |      18.63
DRAM summary                         |           
  num dram accesses                  |       2191
  average dram access latency (ns)   |      72.93
  average dram queueing delay        |      19.50
  average dram bandwidth utilization |     18.00%
Coherency Traffic                    |           
  num loads from dram                |       1058
  num loads from dram cache          |          0
  num loads from remote cache        |          0
