                                     | Core 0    
  Instructions                       |     182619
  Cycles                             |     278236
  IPC                                |       0.66
  Time (ns)                          |     104600
  Idle time (ns)                     |        -10
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |      18297
  num incorrect                      |       1502
  misprediction rate                 |      7.59%
  mpki                               |       8.22
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      19521
    num misses                       |         40
    miss rate                        |      0.20%
    mpki                             |       0.22
  D-TLB                              |           
    num accesses                     |      63047
    num misses                       |         76
    miss rate                        |      0.12%
    mpki                             |       0.42
  L2 TLB                             |           
    num accesses                     |        116
    num misses                       |        109
    miss rate                        |     93.97%
    mpki                             |       0.60
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      19521
    num cache misses                 |        689
    miss rate                        |      3.53%
    mpki                             |       3.77
  Cache L1-D                         |           
    num cache accesses               |      63047
    num cache misses                 |       1680
    miss rate                        |      2.66%
    mpki                             |       9.20
  Cache L2                           |           
    num cache accesses               |       2406
    num cache misses                 |       2191
    miss rate                        |     91.06%
    mpki                             |      12.00
  Cache L3                           |           
    num cache accesses               |       2228
    num cache misses                 |       2191
    miss rate                        |     98.34%
    mpki                             |      12.00
DRAM summary                         |           
  num dram accesses                  |       2191
  average dram access latency (ns)   |      72.04
  average dram queueing delay        |      18.61
  average dram bandwidth utilization |     17.00%
Coherency Traffic                    |           
  num loads from dram                |       1059
  num loads from dram cache          |          0
  num loads from remote cache        |          0
