                                     | Core 0    
  Instructions                       |     132619
  Cycles                             |     284088
  IPC                                |       0.47
  Time (ns)                          |     106800
  Idle time (ns)                     |         18
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |      18289
  num incorrect                      |       1510
  misprediction rate                 |      7.63%
  mpki                               |      11.39
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      19521
    num misses                       |         40
    miss rate                        |      0.20%
    mpki                             |       0.30
  D-TLB                              |           
    num accesses                     |      58048
    num misses                       |        126
    miss rate                        |      0.22%
    mpki                             |       0.95
  L2 TLB                             |           
    num accesses                     |        166
    num misses                       |        110
    miss rate                        |     66.27%
    mpki                             |       0.83
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      19521
    num cache misses                 |        688
    miss rate                        |      3.52%
    mpki                             |       5.19
  Cache L1-D                         |           
    num cache accesses               |      58048
    num cache misses                 |       1680
    miss rate                        |      2.89%
    mpki                             |      12.67
  Cache L2                           |           
    num cache accesses               |       2406
    num cache misses                 |       2193
    miss rate                        |     91.15%
    mpki                             |      16.54
  Cache L3                           |           
    num cache accesses               |       2231
    num cache misses                 |       2192
    miss rate                        |     98.25%
    mpki                             |      16.53
DRAM summary                         |           
  num dram accesses                  |       2192
  average dram access latency (ns)   |      71.95
  average dram queueing delay        |      18.52
  average dram bandwidth utilization |     17.00%
Coherency Traffic                    |           
  num loads from dram                |       1061
  num loads from dram cache          |          0
  num loads from remote cache        |          0
