                                     | Core 0    
  Instructions                       |     162619
  Cycles                             |     303772
  IPC                                |       0.54
  Time (ns)                          |     114200
  Idle time (ns)                     |         -9
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |      18305
  num incorrect                      |       1494
  misprediction rate                 |      7.55%
  mpki                               |       9.19
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      19521
    num misses                       |         40
    miss rate                        |      0.20%
    mpki                             |       0.25
  D-TLB                              |           
    num accesses                     |      63048
    num misses                       |         79
    miss rate                        |      0.13%
    mpki                             |       0.49
  L2 TLB                             |           
    num accesses                     |        119
    num misses                       |        111
    miss rate                        |     93.28%
    mpki                             |       0.68
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      19521
    num cache misses                 |        689
    miss rate                        |      3.53%
    mpki                             |       4.24
  Cache L1-D                         |           
    num cache accesses               |      63048
    num cache misses                 |       1678
    miss rate                        |      2.66%
    mpki                             |      10.32
  Cache L2                           |           
    num cache accesses               |       2405
    num cache misses                 |       2193
    miss rate                        |     91.19%
    mpki                             |      13.49
  Cache L3                           |           
    num cache accesses               |       2231
    num cache misses                 |       2192
    miss rate                        |     98.25%
    mpki                             |      13.48
DRAM summary                         |           
  num dram accesses                  |       2192
  average dram access latency (ns)   |      72.03
  average dram queueing delay        |      18.60
  average dram bandwidth utilization |     16.00%
Coherency Traffic                    |           
  num loads from dram                |       1060
  num loads from dram cache          |          0
  num loads from remote cache        |          0
