                                     | Core 0    
  Instructions                       |     157619
  Cycles                             |     296590
  IPC                                |       0.53
  Time (ns)                          |     111500
  Idle time (ns)                     |         29
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |      18292
  num incorrect                      |       1507
  misprediction rate                 |      7.61%
  mpki                               |       9.56
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      19521
    num misses                       |         40
    miss rate                        |      0.20%
    mpki                             |       0.25
  D-TLB                              |           
    num accesses                     |      63047
    num misses                       |        108
    miss rate                        |      0.17%
    mpki                             |       0.69
  L2 TLB                             |           
    num accesses                     |        148
    num misses                       |        110
    miss rate                        |     74.32%
    mpki                             |       0.70
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      19521
    num cache misses                 |        688
    miss rate                        |      3.52%
    mpki                             |       4.36
  Cache L1-D                         |           
    num cache accesses               |      63047
    num cache misses                 |       1679
    miss rate                        |      2.66%
    mpki                             |      10.65
  Cache L2                           |           
    num cache accesses               |       2403
    num cache misses                 |       2192
    miss rate                        |     91.22%
    mpki                             |      13.91
  Cache L3                           |           
    num cache accesses               |       2228
    num cache misses                 |       2192
    miss rate                        |     98.38%
    mpki                             |      13.91
DRAM summary                         |           
  num dram accesses                  |       2192
  average dram access latency (ns)   |      72.16
  average dram queueing delay        |      18.73
  average dram bandwidth utilization |     16.00%
Coherency Traffic                    |           
  num loads from dram                |       1058
  num loads from dram cache          |          0
  num loads from remote cache        |          0
