                                     | Core 0    
  Instructions                       |     132619
  Cycles                             |     283024
  IPC                                |       0.47
  Time (ns)                          |     106400
  Idle time (ns)                     |        -76
  Idle time (%)                      |      -0.1%
Branch predictor stats               |           
  num correct                        |      18295
  num incorrect                      |       1504
  misprediction rate                 |      7.60%
  mpki                               |      11.34
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      19521
    num misses                       |         40
    miss rate                        |      0.20%
    mpki                             |       0.30
  D-TLB                              |           
    num accesses                     |      58047
    num misses                       |         78
    miss rate                        |      0.13%
    mpki                             |       0.59
  L2 TLB                             |           
    num accesses                     |        118
    num misses                       |        110
    miss rate                        |     93.22%
    mpki                             |       0.83
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      19521
    num cache misses                 |        688
    miss rate                        |      3.52%
    mpki                             |       5.19
  Cache L1-D                         |           
    num cache accesses               |      58047
    num cache misses                 |       1682
    miss rate                        |      2.90%
    mpki                             |      12.68
  Cache L2                           |           
    num cache accesses               |       2407
    num cache misses                 |       2192
    miss rate                        |     91.07%
    mpki                             |      16.53
  Cache L3                           |           
    num cache accesses               |       2229
    num cache misses                 |       2191
    miss rate                        |     98.30%
    mpki                             |      16.52
DRAM summary                         |           
  num dram accesses                  |       2191
  average dram access latency (ns)   |      71.98
  average dram queueing delay        |      18.55
  average dram bandwidth utilization |     17.00%
Coherency Traffic                    |           
  num loads from dram                |       1060
  num loads from dram cache          |          0
  num loads from remote cache        |          0
