                                     | Core 0    
  Instructions                       |     162619
  Cycles                             |     273182
  IPC                                |       0.60
  Time (ns)                          |     102700
  Idle time (ns)                     |          2
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |      18298
  num incorrect                      |       1501
  misprediction rate                 |      7.58%
  mpki                               |       9.23
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      19521
    num misses                       |         40
    miss rate                        |      0.20%
    mpki                             |       0.25
  D-TLB                              |           
    num accesses                     |      63047
    num misses                       |        141
    miss rate                        |      0.22%
    mpki                             |       0.87
  L2 TLB                             |           
    num accesses                     |        181
    num misses                       |        110
    miss rate                        |     60.77%
    mpki                             |       0.68
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      19521
    num cache misses                 |        689
    miss rate                        |      3.53%
    mpki                             |       4.24
  Cache L1-D                         |           
    num cache accesses               |      63047
    num cache misses                 |       1680
    miss rate                        |      2.66%
    mpki                             |      10.33
  Cache L2                           |           
    num cache accesses               |       2406
    num cache misses                 |       2191
    miss rate                        |     91.06%
    mpki                             |      13.47
  Cache L3                           |           
    num cache accesses               |       2228
    num cache misses                 |       2191
    miss rate                        |     98.34%
    mpki                             |      13.47
DRAM summary                         |           
  num dram accesses                  |       2191
  average dram access latency (ns)   |      72.01
  average dram queueing delay        |      18.58
  average dram bandwidth utilization |     17.00%
Coherency Traffic                    |           
  num loads from dram                |       1059
  num loads from dram cache          |          0
  num loads from remote cache        |          0
