                                     | Core 0    
  Instructions                       |     162619
  Cycles                             |     303506
  IPC                                |       0.54
  Time (ns)                          |     114100
  Idle time (ns)                     |          2
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |      18293
  num incorrect                      |       1506
  misprediction rate                 |      7.61%
  mpki                               |       9.26
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      19521
    num misses                       |         40
    miss rate                        |      0.20%
    mpki                             |       0.25
  D-TLB                              |           
    num accesses                     |      63047
    num misses                       |         74
    miss rate                        |      0.12%
    mpki                             |       0.46
  L2 TLB                             |           
    num accesses                     |        114
    num misses                       |        110
    miss rate                        |     96.49%
    mpki                             |       0.68
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      19521
    num cache misses                 |        689
    miss rate                        |      3.53%
    mpki                             |       4.24
  Cache L1-D                         |           
    num cache accesses               |      63047
    num cache misses                 |       1680
    miss rate                        |      2.66%
    mpki                             |      10.33
  Cache L2                           |           
    num cache accesses               |       2406
    num cache misses                 |       2191
    miss rate                        |     91.06%
    mpki                             |      13.47
  Cache L3                           |           
    num cache accesses               |       2228
    num cache misses                 |       2191
    miss rate                        |     98.34%
    mpki                             |      13.47
DRAM summary                         |           
  num dram accesses                  |       2191
  average dram access latency (ns)   |      71.97
  average dram queueing delay        |      18.54
  average dram bandwidth utilization |     16.00%
Coherency Traffic                    |           
  num loads from dram                |       1059
  num loads from dram cache          |          0
  num loads from remote cache        |          0
