                                     | Core 0    
  Instructions                       |     162619
  Cycles                             |     273714
  IPC                                |       0.59
  Time (ns)                          |     102900
  Idle time (ns)                     |        -37
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |      18300
  num incorrect                      |       1499
  misprediction rate                 |      7.57%
  mpki                               |       9.22
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      19521
    num misses                       |         40
    miss rate                        |      0.20%
    mpki                             |       0.25
  D-TLB                              |           
    num accesses                     |      63048
    num misses                       |        141
    miss rate                        |      0.22%
    mpki                             |       0.87
  L2 TLB                             |           
    num accesses                     |        181
    num misses                       |        110
    miss rate                        |     60.77%
    mpki                             |       0.68
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      19521
    num cache misses                 |        689
    miss rate                        |      3.53%
    mpki                             |       4.24
  Cache L1-D                         |           
    num cache accesses               |      63048
    num cache misses                 |       1679
    miss rate                        |      2.66%
    mpki                             |      10.32
  Cache L2                           |           
    num cache accesses               |       2406
    num cache misses                 |       2193
    miss rate                        |     91.15%
    mpki                             |      13.49
  Cache L3                           |           
    num cache accesses               |       2231
    num cache misses                 |       2192
    miss rate                        |     98.25%
    mpki                             |      13.48
DRAM summary                         |           
  num dram accesses                  |       2192
  average dram access latency (ns)   |      72.05
  average dram queueing delay        |      18.62
  average dram bandwidth utilization |     17.00%
Coherency Traffic                    |           
  num loads from dram                |       1060
  num loads from dram cache          |          0
  num loads from remote cache        |          0
