                                     | Core 0    
  Instructions                       |     137619
  Cycles                             |     280896
  IPC                                |       0.49
  Time (ns)                          |     105600
  Idle time (ns)                     |          9
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |      18298
  num incorrect                      |       1501
  misprediction rate                 |      7.58%
  mpki                               |      10.91
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      19521
    num misses                       |         40
    miss rate                        |      0.20%
    mpki                             |       0.29
  D-TLB                              |           
    num accesses                     |      58047
    num misses                       |        125
    miss rate                        |      0.22%
    mpki                             |       0.91
  L2 TLB                             |           
    num accesses                     |        165
    num misses                       |        110
    miss rate                        |     66.67%
    mpki                             |       0.80
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      19521
    num cache misses                 |        688
    miss rate                        |      3.52%
    mpki                             |       5.00
  Cache L1-D                         |           
    num cache accesses               |      58047
    num cache misses                 |       1679
    miss rate                        |      2.89%
    mpki                             |      12.20
  Cache L2                           |           
    num cache accesses               |       2403
    num cache misses                 |       2191
    miss rate                        |     91.18%
    mpki                             |      15.92
  Cache L3                           |           
    num cache accesses               |       2227
    num cache misses                 |       2191
    miss rate                        |     98.38%
    mpki                             |      15.92
DRAM summary                         |           
  num dram accesses                  |       2191
  average dram access latency (ns)   |      72.20
  average dram queueing delay        |      18.77
  average dram bandwidth utilization |     17.00%
Coherency Traffic                    |           
  num loads from dram                |       1058
  num loads from dram cache          |          0
  num loads from remote cache        |          0
