                                     | Core 0    
  Instructions                       |     137619
  Cycles                             |     283024
  IPC                                |       0.49
  Time (ns)                          |     106400
  Idle time (ns)                     |         71
  Idle time (%)                      |       0.1%
Branch predictor stats               |           
  num correct                        |      18292
  num incorrect                      |       1507
  misprediction rate                 |      7.61%
  mpki                               |      10.95
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      19521
    num misses                       |         40
    miss rate                        |      0.20%
    mpki                             |       0.29
  D-TLB                              |           
    num accesses                     |      58047
    num misses                       |         74
    miss rate                        |      0.13%
    mpki                             |       0.54
  L2 TLB                             |           
    num accesses                     |        114
    num misses                       |        110
    miss rate                        |     96.49%
    mpki                             |       0.80
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      19521
    num cache misses                 |        688
    miss rate                        |      3.52%
    mpki                             |       5.00
  Cache L1-D                         |           
    num cache accesses               |      58047
    num cache misses                 |       1680
    miss rate                        |      2.89%
    mpki                             |      12.21
  Cache L2                           |           
    num cache accesses               |       2405
    num cache misses                 |       2191
    miss rate                        |     91.10%
    mpki                             |      15.92
  Cache L3                           |           
    num cache accesses               |       2228
    num cache misses                 |       2190
    miss rate                        |     98.29%
    mpki                             |      15.91
DRAM summary                         |           
  num dram accesses                  |       2190
  average dram access latency (ns)   |      71.98
  average dram queueing delay        |      18.55
  average dram bandwidth utilization |     17.00%
Coherency Traffic                    |           
  num loads from dram                |       1059
  num loads from dram cache          |          0
  num loads from remote cache        |          0
