                                     | Core 0    
  Instructions                       |     122619
  Cycles                             |     283290
  IPC                                |       0.43
  Time (ns)                          |     106500
  Idle time (ns)                     |        -34
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |      18295
  num incorrect                      |       1504
  misprediction rate                 |      7.60%
  mpki                               |      12.27
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |       9521
    num misses                       |         40
    miss rate                        |      0.42%
    mpki                             |       0.33
  D-TLB                              |           
    num accesses                     |      53048
    num misses                       |         80
    miss rate                        |      0.15%
    mpki                             |       0.65
  L2 TLB                             |           
    num accesses                     |        120
    num misses                       |        111
    miss rate                        |     92.50%
    mpki                             |       0.91
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |       9521
    num cache misses                 |        688
    miss rate                        |      7.23%
    mpki                             |       5.61
  Cache L1-D                         |           
    num cache accesses               |      53048
    num cache misses                 |       1679
    miss rate                        |      3.17%
    mpki                             |      13.69
  Cache L2                           |           
    num cache accesses               |       2405
    num cache misses                 |       2191
    miss rate                        |     91.10%
    mpki                             |      17.87
  Cache L3                           |           
    num cache accesses               |       2229
    num cache misses                 |       2191
    miss rate                        |     98.30%
    mpki                             |      17.87
DRAM summary                         |           
  num dram accesses                  |       2191
  average dram access latency (ns)   |      72.00
  average dram queueing delay        |      18.57
  average dram bandwidth utilization |     17.00%
Coherency Traffic                    |           
  num loads from dram                |       1060
  num loads from dram cache          |          0
  num loads from remote cache        |          0
