                                     | Core 0    
  Instructions                       |     167619
  Cycles                             |     308294
  IPC                                |       0.54
  Time (ns)                          |     115900
  Idle time (ns)                     |         87
  Idle time (%)                      |       0.1%
Branch predictor stats               |           
  num correct                        |      18301
  num incorrect                      |       1498
  misprediction rate                 |      7.57%
  mpki                               |       8.94
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      19521
    num misses                       |         40
    miss rate                        |      0.20%
    mpki                             |       0.24
  D-TLB                              |           
    num accesses                     |      63047
    num misses                       |         81
    miss rate                        |      0.13%
    mpki                             |       0.48
  L2 TLB                             |           
    num accesses                     |        121
    num misses                       |        111
    miss rate                        |     91.74%
    mpki                             |       0.66
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      19521
    num cache misses                 |        689
    miss rate                        |      3.53%
    mpki                             |       4.11
  Cache L1-D                         |           
    num cache accesses               |      63047
    num cache misses                 |       1680
    miss rate                        |      2.66%
    mpki                             |      10.02
  Cache L2                           |           
    num cache accesses               |       2406
    num cache misses                 |       2191
    miss rate                        |     91.06%
    mpki                             |      13.07
  Cache L3                           |           
    num cache accesses               |       2228
    num cache misses                 |       2191
    miss rate                        |     98.34%
    mpki                             |      13.07
DRAM summary                         |           
  num dram accesses                  |       2191
  average dram access latency (ns)   |      71.96
  average dram queueing delay        |      18.53
  average dram bandwidth utilization |     15.00%
Coherency Traffic                    |           
  num loads from dram                |       1059
  num loads from dram cache          |          0
  num loads from remote cache        |          0
