                                     | Core 0    
  Instructions                       |     122622
  Cycles                             |     271054
  IPC                                |       0.45
  Time (ns)                          |     101900
  Idle time (ns)                     |         48
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |      18298
  num incorrect                      |       1501
  misprediction rate                 |      7.58%
  mpki                               |      12.24
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |       9521
    num misses                       |         40
    miss rate                        |      0.42%
    mpki                             |       0.33
  D-TLB                              |           
    num accesses                     |      63048
    num misses                       |         83
    miss rate                        |      0.13%
    mpki                             |       0.68
  L2 TLB                             |           
    num accesses                     |        123
    num misses                       |        111
    miss rate                        |     90.24%
    mpki                             |       0.91
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |       9521
    num cache misses                 |        688
    miss rate                        |      7.23%
    mpki                             |       5.61
  Cache L1-D                         |           
    num cache accesses               |      63048
    num cache misses                 |       1679
    miss rate                        |      2.66%
    mpki                             |      13.69
  Cache L2                           |           
    num cache accesses               |       2403
    num cache misses                 |       2191
    miss rate                        |     91.18%
    mpki                             |      17.87
  Cache L3                           |           
    num cache accesses               |       2227
    num cache misses                 |       2191
    miss rate                        |     98.38%
    mpki                             |      17.87
DRAM summary                         |           
  num dram accesses                  |       2191
  average dram access latency (ns)   |      72.17
  average dram queueing delay        |      18.75
  average dram bandwidth utilization |     18.00%
Coherency Traffic                    |           
  num loads from dram                |       1058
  num loads from dram cache          |          0
  num loads from remote cache        |          0
