                                     | Core 0    
  Instructions                       |     137619
  Cycles                             |     293664
  IPC                                |       0.47
  Time (ns)                          |     110400
  Idle time (ns)                     |         -7
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |      18294
  num incorrect                      |       1505
  misprediction rate                 |      7.60%
  mpki                               |      10.94
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      19521
    num misses                       |         40
    miss rate                        |      0.20%
    mpki                             |       0.29
  D-TLB                              |           
    num accesses                     |      63048
    num misses                       |         78
    miss rate                        |      0.12%
    mpki                             |       0.57
  L2 TLB                             |           
    num accesses                     |        118
    num misses                       |        110
    miss rate                        |     93.22%
    mpki                             |       0.80
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      19521
    num cache misses                 |        688
    miss rate                        |      3.52%
    mpki                             |       5.00
  Cache L1-D                         |           
    num cache accesses               |      63048
    num cache misses                 |       1679
    miss rate                        |      2.66%
    mpki                             |      12.20
  Cache L2                           |           
    num cache accesses               |       2405
    num cache misses                 |       2192
    miss rate                        |     91.14%
    mpki                             |      15.93
  Cache L3                           |           
    num cache accesses               |       2230
    num cache misses                 |       2191
    miss rate                        |     98.25%
    mpki                             |      15.92
DRAM summary                         |           
  num dram accesses                  |       2191
  average dram access latency (ns)   |      72.00
  average dram queueing delay        |      18.57
  average dram bandwidth utilization |     16.00%
Coherency Traffic                    |           
  num loads from dram                |       1060
  num loads from dram cache          |          0
  num loads from remote cache        |          0
