                                     | Core 0    
  Instructions                       |     132619
  Cycles                             |     281428
  IPC                                |       0.47
  Time (ns)                          |     105800
  Idle time (ns)                     |         40
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |      18288
  num incorrect                      |       1511
  misprediction rate                 |      7.63%
  mpki                               |      11.39
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      19521
    num misses                       |         40
    miss rate                        |      0.20%
    mpki                             |       0.30
  D-TLB                              |           
    num accesses                     |      58047
    num misses                       |        186
    miss rate                        |      0.32%
    mpki                             |       1.40
  L2 TLB                             |           
    num accesses                     |        226
    num misses                       |        110
    miss rate                        |     48.67%
    mpki                             |       0.83
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      19521
    num cache misses                 |        688
    miss rate                        |      3.52%
    mpki                             |       5.19
  Cache L1-D                         |           
    num cache accesses               |      58047
    num cache misses                 |       1679
    miss rate                        |      2.89%
    mpki                             |      12.66
  Cache L2                           |           
    num cache accesses               |       2403
    num cache misses                 |       2191
    miss rate                        |     91.18%
    mpki                             |      16.52
  Cache L3                           |           
    num cache accesses               |       2227
    num cache misses                 |       2191
    miss rate                        |     98.38%
    mpki                             |      16.52
DRAM summary                         |           
  num dram accesses                  |       2191
  average dram access latency (ns)   |      72.14
  average dram queueing delay        |      18.71
  average dram bandwidth utilization |     17.00%
Coherency Traffic                    |           
  num loads from dram                |       1058
  num loads from dram cache          |          0
  num loads from remote cache        |          0
