                                     | Core 0    
  Instructions                       |     122622
  Cycles                             |     266532
  IPC                                |       0.46
  Time (ns)                          |     100200
  Idle time (ns)                     |         26
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |      18289
  num incorrect                      |       1510
  misprediction rate                 |      7.63%
  mpki                               |      12.31
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |       9521
    num misses                       |         40
    miss rate                        |      0.42%
    mpki                             |       0.33
  D-TLB                              |           
    num accesses                     |      58048
    num misses                       |         93
    miss rate                        |      0.16%
    mpki                             |       0.76
  L2 TLB                             |           
    num accesses                     |        133
    num misses                       |        110
    miss rate                        |     82.71%
    mpki                             |       0.90
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |       9521
    num cache misses                 |        688
    miss rate                        |      7.23%
    mpki                             |       5.61
  Cache L1-D                         |           
    num cache accesses               |      58048
    num cache misses                 |       1678
    miss rate                        |      2.89%
    mpki                             |      13.68
  Cache L2                           |           
    num cache accesses               |       2402
    num cache misses                 |       2191
    miss rate                        |     91.22%
    mpki                             |      17.87
  Cache L3                           |           
    num cache accesses               |       2227
    num cache misses                 |       2191
    miss rate                        |     98.38%
    mpki                             |      17.87
DRAM summary                         |           
  num dram accesses                  |       2191
  average dram access latency (ns)   |      72.22
  average dram queueing delay        |      18.79
  average dram bandwidth utilization |     18.00%
Coherency Traffic                    |           
  num loads from dram                |       1058
  num loads from dram cache          |          0
  num loads from remote cache        |          0
