                                     | Core 0    
  Instructions                       |     167619
  Cycles                             |     272650
  IPC                                |       0.61
  Time (ns)                          |     102500
  Idle time (ns)                     |         48
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |      18301
  num incorrect                      |       1498
  misprediction rate                 |      7.57%
  mpki                               |       8.94
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      19521
    num misses                       |         40
    miss rate                        |      0.20%
    mpki                             |       0.24
  D-TLB                              |           
    num accesses                     |      63047
    num misses                       |         80
    miss rate                        |      0.13%
    mpki                             |       0.48
  L2 TLB                             |           
    num accesses                     |        120
    num misses                       |        111
    miss rate                        |     92.50%
    mpki                             |       0.66
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      19521
    num cache misses                 |        689
    miss rate                        |      3.53%
    mpki                             |       4.11
  Cache L1-D                         |           
    num cache accesses               |      63047
    num cache misses                 |       1679
    miss rate                        |      2.66%
    mpki                             |      10.02
  Cache L2                           |           
    num cache accesses               |       2404
    num cache misses                 |       2192
    miss rate                        |     91.18%
    mpki                             |      13.08
  Cache L3                           |           
    num cache accesses               |       2228
    num cache misses                 |       2192
    miss rate                        |     98.38%
    mpki                             |      13.08
DRAM summary                         |           
  num dram accesses                  |       2192
  average dram access latency (ns)   |      72.17
  average dram queueing delay        |      18.74
  average dram bandwidth utilization |     18.00%
Coherency Traffic                    |           
  num loads from dram                |       1058
  num loads from dram cache          |          0
  num loads from remote cache        |          0
