                                     | Core 0    
  Instructions                       |     182619
  Cycles                             |     328510
  IPC                                |       0.56
  Time (ns)                          |     123500
  Idle time (ns)                     |         30
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |      18307
  num incorrect                      |       1492
  misprediction rate                 |      7.54%
  mpki                               |       8.17
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      19521
    num misses                       |         40
    miss rate                        |      0.20%
    mpki                             |       0.22
  D-TLB                              |           
    num accesses                     |      63048
    num misses                       |         87
    miss rate                        |      0.14%
    mpki                             |       0.48
  L2 TLB                             |           
    num accesses                     |        127
    num misses                       |        110
    miss rate                        |     86.61%
    mpki                             |       0.60
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      19521
    num cache misses                 |        689
    miss rate                        |      3.53%
    mpki                             |       3.77
  Cache L1-D                         |           
    num cache accesses               |      63048
    num cache misses                 |       1679
    miss rate                        |      2.66%
    mpki                             |       9.19
  Cache L2                           |           
    num cache accesses               |       2406
    num cache misses                 |       2192
    miss rate                        |     91.11%
    mpki                             |      12.00
  Cache L3                           |           
    num cache accesses               |       2230
    num cache misses                 |       2192
    miss rate                        |     98.30%
    mpki                             |      12.00
DRAM summary                         |           
  num dram accesses                  |       2192
  average dram access latency (ns)   |      72.02
  average dram queueing delay        |      18.59
  average dram bandwidth utilization |     14.00%
Coherency Traffic                    |           
  num loads from dram                |       1060
  num loads from dram cache          |          0
  num loads from remote cache        |          0
